Date,Open,High,Low,Close,Volume,Market Cap
Apr-25-2014,500.087,500.299,442.951,461.449,34614370.56737588,5881579230.949552
Apr-24-2014,490.825,500.465,482.952,500.465,10362477.102473497,6219179982.514829
Apr-23-2014,488.359,493.249,485.817,491.303,10862710.462633451,6211058966.771417
Apr-22-2014,495.455,503.222,487.58,487.924,12763944.097222222,6270357171.891746
Apr-21-2014,497.739,510.568,493.201,495.773,14247268.531468531,6340714412.305739
Apr-20-2014,501.751,510.871,490.84,498.168,15292310.069444444,6356766518.460966
Apr-19-2014,479.582,503.555,470.561,501.565,20064121.875,6222847890.745991
Apr-18-2014,495.798,498.601,472.741,479.645,24792255.74912892,6148960573.576315
Apr-17-2014,529.067,533.517,484.874,495.963,44005150.6993007,6395758113.893819
Apr-16-2014,522.185,542.378,502.781,527.395,54356754.16725979,6535677068.348081
Apr-15-2014,458.373,518.996,453.543,515.586,48152451.84397163,6152808781.20645
Apr-14-2014,414.828,469.751,407.373,458.787,41624579.298245616,5634258397.876184
Apr-13-2014,421.461,427.398,395.254,414.063,15528146.180555556,5262634566.070513
Apr-12-2014,420.889,439.606,415.789,421.116,34810648.958333336,5378662463.033789
Apr-11-2014,363.71,429.767,351.816,420.947,73670357.14285715,5101026477.287789
Apr-10-2014,442.256,443.366,358.732,365.176,32636740.277777776,5161198426.437902
Apr-09-2014,453.177,455.728,441.933,442.725,11066679.895470383,5673128492.027857
Apr-08-2014,447.613,457.424,446.114,453.086,14037298.021201413,5709315677.858102
Apr-07-2014,461.474,462.564,445.122,449.423,12078620.731707318,5733278721.288774
Apr-06-2014,463.397,466.319,452.97,460.499,11486721.527777778,5799666042.826808
Apr-05-2014,446.675,463.571,444.197,461.907,17020784.375,5688510905.385484
Apr-04-2014,445.664,454.652,429.091,447.526,30892161.324041814,5582762860.993133
Apr-03-2014,436.444,449.565,414.89,444.718,53592427.112676054,5457878476.537804
Apr-02-2014,479.137,495.045,431.269,437.14,33959281.81818182,5872691500.069672
Apr-01-2014,457,495.343,457,478.375,30041358.156028368,5998615252.71263
Mar-31-2014,462.299,483.022,443.365,457.001,46448404.87804878,5756889064.164937
Mar-30-2014,492.372,492.372,444.179,460.273,25007250.37313433,5900211133.428395
Mar-29-2014,501.713,504.859,489.734,491.172,24921434.939271256,6350288606.788746
Mar-28-2014,477.143,526.023,473.234,495.666,75398755.06072874,6315944296.191547
Mar-27-2014,580.257,580.56,471.239,471.239,35475810.37037037,6791472293.168898
Mar-26-2014,583.482,590.028,570.963,580.827,15706614.427860696,7302344076.547638
Mar-25-2014,585.026,585.438,572.605,583.917,20424957.013888888,7263109223.054356
Mar-24-2014,562.507,586.562,551.772,583.412,14198842.097902099,7077884418.325598
Mar-23-2014,565.764,570.238,560.878,561.272,13137691.49825784,7091490042.65409
Mar-22-2014,571.18,572.548,554.391,565.04,27472762.152777776,7084883883.730602
Mar-21-2014,588.294,604.592,561.813,571.49,29695169.444444444,7306086310.096597
Mar-20-2014,609.745,609.745,587.493,588.77,16687415.679442508,7488914117.02097
Mar-19-2014,613.896,622,609.096,609.888,19580376.783216782,7698074856.061342
Mar-18-2014,621.838,622.391,603.796,614.832,19978577.430555556,7696416281.718099
Mar-17-2014,630.92,632.68,616.855,622.373,10534403.776223777,7825009997.995891
Mar-16-2014,636.5,637.52,628.11,631.11,4539644.912891986,7923801162.071549
Mar-15-2014,629.37,639.14,627.3,636.12,8524813.263888888,7932813424.413489
Mar-14-2014,638.14,639.53,627.21,628.8,12083537.142857144,7923032541.172365
Mar-13-2014,633.62,644.2,630.85,638.14,12905969.58041958,7983159635.180029
Mar-12-2014,631.91,648.03,629.51,632.1,18940549.305555556,7959922309.064316
Mar-11-2014,627.95,638.42,618.84,634.11,15204582.43902439,7837667867.443592
Mar-10-2014,636.33,644.76,615.02,627.79,18088327.083333332,7874269858.756705
Mar-09-2014,616.31,643.95,612.35,636.96,15915538.111888113,7832981151.03068
Mar-08-2014,629.66,635.14,604.46,617.45,28762910.416666668,7735490966.473212
Mar-07-2014,664.31,665.34,616.35,629.15,22641439.08450704,8025457767.9470005
Mar-06-2014,664.52,669.77,649.79,663.86,18503728.62190813,8245171934.647258
Mar-05-2014,666.24,674.28,646.28,665.51,37862335.35714286,8242502215.116514
Mar-04-2014,668.24,696.22,655.68,666.78,85672067.42424242,8403577585.418315
Mar-03-2014,562.56,702.91,560.52,667.76,40165800.945454545,7498897993.798949
Mar-02-2014,567.23,570.48,553.27,559.79,10561847.263157895,7011787695.328666
Mar-01-2014,549.92,573.38,539.29,565.61,27497411.458333332,6982480864.197009
Feb-28-2014,579.7,584.14,545.17,549.26,23830455.0877193,7070255331.975941
Feb-27-2014,581.65,594.05,566.62,578.77,43455990.87719298,7210937027.745565
Feb-26-2014,537.04,603.8,532.58,582.69,88164242.95774648,7125118331.053257
Feb-25-2014,540.24,541.38,420.41,538.71,98908728.51985559,6252179685.794806
Feb-24-2014,606.04,607.61,538.7,546.32,47587242.456140354,7105573278.507786
Feb-23-2014,606.47,639.91,599.7,605.82,35687902.09059233,7675297672.93679
Feb-22-2014,574.24,614.48,558.58,605.42,28979581.533101045,7180168421.867626
Feb-21-2014,556.88,582.96,530.47,574.16,55196455.28169014,6996345255.8810835
Feb-20-2014,623.09,627.73,556.14,556.14,29843161.267605633,7422868540.349037
Feb-19-2014,625.97,631.77,618.7,623.03,15284668.197879858,7750140803.418797
Feb-18-2014,627.16,645.76,612.54,626.6,25615585.96491228,7794976824.250026
Feb-17-2014,614.23,656.95,607.31,626.27,42927346.503496505,7797772263.793191
Feb-16-2014,651.3,665.1,584.17,616.63,26895555.400696862,7849611059.002528
Feb-15-2014,660.9,661.84,632.84,650.92,59722314.23611111,8034029221.9607935
Feb-14-2014,601.17,691.72,541.04,661.99,83605031.70731707,7711203962.133524
Feb-13-2014,651.08,657.99,601.91,605.24,23001732.75261324,7941472584.606925
Feb-12-2014,672.38,672.9,643.04,651.72,59332233.48017621,8179088889.310021
Feb-11-2014,683.5,712.46,636.66,672.17,86329650.87719299,8511996269.61617
Feb-10-2014,681.32,703.71,550.5,681.03,76829848.95833333,8249234526.37808
Feb-09-2014,671.46,712.27,655.25,682.9,39341435.0877193,8462515202.674435
Feb-08-2014,699.57,721.82,661.87,673.92,66004233.68055555,8651820963.768253
Feb-07-2014,783.2,783.2,654.35,712.4,87334584.02777778,8994656750.112932
Feb-06-2014,815.59,819.81,770.59,781.55,47502459.58188153,9886134106.70584
Feb-05-2014,829.96,837.32,811.91,811.91,15026073.519163763,10229221580.29497
Feb-04-2014,823.77,840.17,820.94,827.96,16221290.52631579,10261482876.831123
Feb-03-2014,824.08,826.48,807.22,823.83,12804520.459363958,10104907642.524513
Feb-02-2014,832.9,844.72,820.67,825.37,16498140.766550522,10307710825.199413
Feb-01-2014,828.61,853.52,827.11,832.58,16480984.375,10343351449.547052
Jan-31-2014,818.43,831.87,812.6,829.92,26176925,10135956787.035637
Jan-30-2014,826.02,830.5,799.06,819.03,21338914.63414634,10070366272.946058
Jan-29-2014,809.96,836.87,809.85,826,29048583.50877193,10128597446.024338
Jan-28-2014,774.02,832.5,766.98,812.51,60975196.8641115,9889388626.727922
Jan-27-2014,884.6,893,757.11,771.39,32267905.555555556,10443850075.050283
Jan-26-2014,853.68,897.02,844.86,885.28,27087593.728222996,10680037187.95403
Jan-25-2014,796.24,861.45,792.96,853.61,24353502.083333332,10184986922.238684
Jan-24-2014,822.43,822.43,783.58,797.07,30197343.055555556,9881758220.551954
Jan-23-2014,845.46,851.57,819.32,822.04,17008019.298245613,10300802571.823685
Jan-22-2014,867.21,870.15,837.36,845.59,17395185.51236749,10523337947.08444
Jan-21-2014,869.65,881.2,855.93,863.91,21153266.666666668,10640884702.546667
Jan-20-2014,871.39,886.39,853.87,870.2,31671418.75,10729035655.463768
Jan-19-2014,839.66,870.96,825.53,870.96,17158798.943661973,10312718035.762447
Jan-18-2014,816.07,841.49,816.07,840,30981729.824561402,10219660321.705078
Jan-17-2014,834.49,842.91,797.63,814.64,29055483.566433568,10109762173.276577
Jan-16-2014,860.29,866.16,835.63,835.63,21776485.09090909,10464603001.618496
Jan-15-2014,833.12,872.81,830.86,860.9,24818056.097560976,10488394474.81038
Jan-14-2014,843.17,855.69,825.66,833.27,35096684.375,10313078242.653051
Jan-13-2014,860.19,861.29,806.05,841.2,39904186.11111111,10258670242.777367
Jan-12-2014,919.6,928.52,851.17,863.22,40845699.65156794,10872362349.683258
Jan-11-2014,867.32,921.48,861.72,913.95,43122722.56944445,10933782905.698044
Jan-10-2014,846.69,871.19,822.6,868.48,48399306.94444445,10270348462.103308
Jan-09-2014,841.47,864.36,804.14,846.86,51776518.466898955,10304069916.889668
Jan-08-2014,795.99,870.68,776.18,842.72,97216106.94444445,10198922253.731207
Jan-07-2014,946.49,965.74,802,802,75583107.91366906,11044773594.158693
Jan-06-2014,936.05,1017.12,905.71,953.29,84229008.47457626,11746043059.136497
Jan-05-2014,858.55,952.4,854.52,933.53,51393924.73867596,10878035203.975212
Jan-04-2014,823.27,859.51,801.67,859.51,34606387.152777776,10105103732.522146
Jan-03-2014,802.85,834.15,789.12,818.72,46741909.375,9918214796.21298
Jan-02-2014,773.44,820.31,767.21,802.39,20763855.555555556,9489875856.446772
Jan-01-2014,754.97,775.35,754.97,771.4,23031290.94076655,9363068443.986399
Dec-31-2013,760.32,760.58,738.17,754.01,20363961.111111112,9160241127.762297
